Word,Count,Senses,Definition,Example 1,Example 2,Example 3,Example 4
bad,3,,,feeling physical discomfort or pain (`tough' is occasionally used colloquially for `bad'),my throat feels bad,she felt bad all over,he was feeling tough after a restless night
bad,3,,having undesirable or negative qualities,a bad report card,his sloppy appearance made a bad impression,a bad little boy,clothes in bad shape
bad,3,,physically unsound or diseased,has a bad back,a bad heart,bad teeth,an unsound limb
bad,3,,very intense,a bad headache,in a big rage,had a big (or bad) shock,a bad earthquake
bad,3,risky,not financially safe or secure,a bad investment,high risk investments,anything that promises to pay too much can't help being risky,speculative business enterprises
baffled,7,,perplexed by many conflicting situations or statements,filled with bewilderment,obviously bemused by his questions,bewildered and confused,a cloudy and confounded philosopher
baffling,8,,making great mental demands,hard to comprehend or solve or believe,a baffling problem,I faced the knotty problem of what to have for breakfast,a problematic situation at home
balanced,8,,being in a state of proper equilibrium,the carefully balanced seesaw,a properly balanced symphony orchestra,a balanced assessment of intellectual and cultural history,a balanced blend of whiskeys
baleful,7,,threatening or foreshadowing evil or tragic developments,a baleful look,forbidding thunderclouds,his tone became menacing,ominous rumblings of discontent
ball-hawking,12,,,,c 00482004 n 0000,c 00469555 n 0000 | used of a player skilled in stealing the ball or robbing a batter of a hit,a ball-hawking center fielder
bally(a),8,,informal intensifiers,what a bally (or blinking) nuisance,a bloody fool,a crashing bore,you flaming idiot
banal,5,commonplace,repeated too often,overfamiliar through overuse,bromidic sermons,his remarks were trite and commonplace,hackneyed phrases
bang-up,7,,,very good,he did a bully job,a neat sports car,had a great time at the party
bankable,8,,acceptable to or at a bank,,,,
bantam,6,,very small,diminutive in stature,a lilliputian chest of drawers,her petite figure,tiny feet
barbarian,9,,without civilizing influences,barbarian invaders,barbaric practices,a savage people,fighting is crude and uncivilized especially if the weapons are efficient-Margaret Meade
barbarous,9,,(of persons or their actions) able or disposed to inflict pain or suffering,a barbarous crime,brutal beatings,cruel tortures,Stalin's roughshod treatment of the kulaks
barbed,6,,having or covered with protective barbs or quills or spines or thorns or setae etc.,a horse with a short bristly mane,bristly shrubs,burred fruits,setaceous whiskers
bare,4,,providing no shelter or sustenance,bare rocky hills,barren lands,the bleak treeless regions of the high Andes,the desolate surface of the moon
bare(a),7,,apart from anything else,without additions or modifications,only the bare facts,shocked by the mere idea,the simple passage of time was enough
baronial,8,,impressive in appearance,a baronial mansion,an imposing residence,a noble tree,severe-looking policemen sat astride noble horses
barren,6,,completely wanting or lacking,writing barren of insight,young recruits destitute of experience,innocent of literary merit,the sentence was devoid of meaning
base,4,,having or showing an ignoble lack of honor or morality,that liberal obedience without which your army would be a base rabble- Edmund Burke,taking a mean advantage,chok'd with ambition of the meaner sort- Shakespeare,something essentially vulgar and meanspirited in politics
base,4,,not adhering to ethical or moral principles,base and unpatriotic motives,"a base, degrading way of life",cheating is dishonorable,they considered colonialism immoral
base-forming,12,,yielding a base in aqueous solution,,,,
baseless,8,,without a basis in reason or fact,baseless gossip,the allegations proved groundless,idle fears,unfounded suspicions
basic,5,,,,,,
basic,5,introductory,serving as a base or starting point,a basic course in Russian,basic training for raw recruits,a set of basic tools,an introductory art course
basiscopic,10,,,facing or on the side toward the base,,,
bathetic,8,,effusively or insincerely emotional,a bathetic novel,maudlin expressions of sympathy,mushy effusiveness,a schmaltzy song
battered,8,,exhibiting symptoms resulting from repeated physical and emotional injurythe battered woman syndrome,,,,
beaming,7,,radiating or as if radiating light,the beaming sun,the effulgent daffodils,a radiant sunrise,a refulgent sunset
beastly,7,,resembling a beast,showing lack of human sensibility,beastly desires,a bestial nature,brute force
beautiful,9,,delighting the senses or exciting intellectual or emotional admiration,a beautiful child,beautiful country,a beautiful painting,a beautiful theory
becoming,8,,according with custom or propriety,her becoming modesty,comely behavior,it is not comme il faut for a gentleman to be constantly asking for money,seemly behavior
bedraggled,10,,in deplorable condition,a street of bedraggled tenements,a broken-down fence,a ramshackle old pier,a tumble-down shack
beefy,5,,,muscular and heavily built,a beefy wrestler,had a tall burly frame,clothing sizes for husky boys
begrimed,8,,thickly covered with ingrained dirt or soot,a miner's begrimed face,dingy linen,grimy hands,grubby little fingers
belated,7,,after the expected or usual time,delayed,a belated birthday card,I'm late for the plane,the train is late
belittling,10,,tending to diminish or disparage,belittling comments,managed a deprecating smile at the compliment,deprecatory remarks about the book,a slighting remark
benighted,9,,lacking enlightenment or knowledge or culture,this benighted country,benighted ages of barbarism and superstition,the dark ages,a dark age in the history of education
best,4,,,(superlative of `good') having the most positive qualities,the best film of the year,the best solution,the best time for planting
better,6,,,(comparative of `good') superior to another (of the same class or set or kind) in excellence or quality or desirability or suitability,more highly skilled than another,"You're a better man than I am, Gunga Din",a better coat
bewitching,10,,capturing interest as if by a spell,bewitching smile,Roosevelt was a captivating speaker,enchanting music,an enthralling book
bibulous,8,boozy,given to or marked by the consumption of alcohol,a bibulous fellow,a bibulous evening,his boozy drinking companions,thick boozy singing
bifurcate,9,,resembling a fork,divided or separated into two branches,the biramous appendages of an arthropod,long branched hairs on its legson which pollen collects,a forked river
big,3,,conspicuous in position or importance,a big figure in the movement,big man on campus,he's very large in financial circles,a prominent citizen
big,3,,given or giving freely,was a big tipper,the bounteous goodness of God,bountiful compliments,a freehanded host
big,3,,generous and understanding and tolerant,a heart big enough to hold no grudges,that's very big of you to be so forgiving,a large and generous spirit,a large heart
bizarre,7,,conspicuously or grossly unconventional or unusual,"restaurants of bizarre design--one like a hat, another like a rabbit",famed for his eccentric spelling,a freakish combination of styles,his off-the-wall antics
black,5,,being of the achromatic color of maximum darkness,having little or no hue owing to absorption of almost all incident light,black leather jackets,as black as coal,rich black soil
black,5,,(of events) having extremely unfortunate or dire consequences,bringing ruin,the stock market crashed on Black Friday,a calamitous defeat,the battle was a disastrous end to a disastrous campaign
black,5,,stemming from evil characteristics or forces,wicked or dishonorable,black deeds,a black lie,his black heart has concocted yet another black deed
black,5,,(used of conduct or character) deserving or bringing disgrace or shame,Man...has written one of his blackest records as a destroyer on the oceanic islands- Rachel Carson,an ignominious retreat,inglorious defeat,an opprobrious monument to human greed
black,5,,offering little or no hope,the future looked black,prospects were bleak,Life in the Aran Islands has always been bleak and difficult- J.M.Synge,took a dim view of things
black,5,,harshly ironic or sinister,black humor,a grim joke,grim laughter,fun ranging from slapstick clowning ... to savage mordant wit
black-and-white,15,,,not having or not capable of producing colors,black-and-white film,a black-and-white TV,the movie was in black and white
black-and-white,15,,lacking hue or shades of grey,part white and part black,a black-and-white cow,black-and-white blooms,black-and-white stripes
bladed,6,,,\having a blade or blades,often used in combination,a single-bladed leaf,narrow-bladed grass
blameless,9,,free of guilt,not subject to blame,has lived a blameless life,of irreproachable character,an unimpeachable reputation
bland,5,,lacking taste or flavor or tang,a bland diet,insipid hospital food,flavorless supermarket tomatoes,vapid beer
blank,5,,(of a surface) not written or printed on,blank pages,fill in the blank spaces,a clean page,wide white margins
blasted,7,,expletives used informally as intensifiers,he's a blasted idiot,it's a blamed shame,a blame cold winter,not a blessed dime
